time,altitude,altitudeTime,groundSpeed,icao24,lat,lon,latLonTime,verticalRate,track,type
1670520983,3825.0,1670520982.5,216.0,a19a08,39.034332,-77.357423,1670520982.5,0.0,180.0,null
1670520984,3825.0,1670520983.9,216.0,a19a08,39.034332,-77.357423,1670520983.9,0.0,179.7,null
1670520985,3825.0,1670520984.6,216.0,a19a08,39.034332,-77.357423,1670520984.6,0.0,179.7,null
1670520986,3825.0,1670520985.1,216.0,a19a08,39.034332,-77.357423,1670520985.1,0.0,179.7,null
1670520987,3850.0,1670520986.9,217.0,a19a08,39.027328,-77.357423,1670520986.9,0.0,179.7,null
1670520988,3850.0,1670520987.9,217.0,a19a08,39.027328,-77.357423,1670520987.9,0.0,179.7,null
1670520989,3850.0,1670520988.8,217.0,a19a08,39.026321,-77.357423,1670520988.8,0.0,180.0,null
1670520990,3825.0,1670520990.0,217.0,a19a08,39.024307,-77.357423,1670520990.0,0.0,180.0,null
1670520991,3825.0,1670520991.0,217.0,a19a08,39.024307,-77.357423,1670520991.0,0.0,180.0,null
1670520992,3850.0,1670520991.5,217.0,a19a08,39.023117,-77.357423,1670520991.5,0.0,180.0,null
1670520993,3850.0,1670520992.9,217.0,a19a08,39.021994,-77.357422,1670520992.9,0.0,180.0,null
1670520994,3850.0,1670520993.9,217.0,a19a08,39.021103,-77.357423,1670520993.9,0.0,179.7,null
1670520995,3850.0,1670520995.0,218.0,a19a08,39.019993,-77.357422,1670520995.0,0.0,179.7,null
1670520996,3850.0,1670520995.8,218.0,a19a08,39.019993,-77.357422,1670520995.8,0.0,179.7,null
1670520998,3850.0,1670520997.8,218.0,a19a08,39.019993,-77.357422,1670520997.8,0.0,180.0,null
1670520999,3850.0,1670520998.9,218.0,a19a08,39.015656,-77.357363,1670520998.9,0.0,180.0,null
1670521002,3850.0,1670521001.8,218.0,a19a08,39.012634,-77.357363,1670521001.8,0.0,179.7,null
1670521003,3825.0,1670521002.9,218.0,a19a08,39.01152,-77.357361,1670521002.9,0.0,179.7,null
1670521004,3825.0,1670521003.9,218.0,a19a08,39.010496,-77.357361,1670521003.9,0.0,179.7,null
1670521005,3850.0,1670521005.0,218.0,a19a08,39.009099,-77.357361,1670521005.0,0.0,179.7,null
1670521006,3850.0,1670521005.9,218.0,a19a08,39.007656,-77.357361,1670521005.9,0.0,179.7,null
1670521007,3825.0,1670521006.3,218.0,a19a08,39.007656,-77.357361,1670521006.3,0.0,180.0,null
1670521008,3825.0,1670521007.2,218.0,a19a08,39.007656,-77.357361,1670521007.2,0.0,180.0,null
1670521009,3825.0,1670521009.0,218.0,a19a08,39.00463,-77.357361,1670521009.0,0.0,180.0,null
1670521010,3825.0,1670521009.8,218.0,a19a08,39.003754,-77.357363,1670521009.8,0.0,180.0,null
1670521011,3825.0,1670521011.0,218.0,a19a08,39.002815,-77.357361,1670521011.0,0.0,180.3,null
1670521012,3825.0,1670521011.9,218.0,a19a08,39.001511,-77.357363,1670521011.9,0.0,180.3,null
1670521013,3825.0,1670521012.8,218.0,a19a08,39.000627,-77.357361,1670521012.8,0.0,180.3,null
1670521014,3825.0,1670521013.9,217.0,a19a08,38.999313,-77.357363,1670521013.9,0.0,180.0,null
1670521015,3825.0,1670521015.0,217.0,a19a08,38.999313,-77.357363,1670521015.0,0.0,180.0,null
1670521016,3825.0,1670521016.0,217.0,a19a08,38.999313,-77.357363,1670521016.0,0.0,180.0,null
1670521017,3825.0,1670521016.9,217.0,a19a08,38.997368,-77.357361,1670521016.9,0.0,180.0,null
1670521018,3825.0,1670521017.8,217.0,a19a08,38.996996,-77.357361,1670521017.8,0.0,180.0,null
1670521019,3825.0,1670521019.0,217.0,a19a08,38.995972,-77.357361,1670521019.0,0.0,179.7,null
1670521020,3825.0,1670521019.8,217.0,a19a08,38.994873,-77.357363,1670521019.8,0.0,179.7,null
1670521021,3825.0,1670521021.0,218.0,a19a08,38.992859,-77.357304,1670521021.0,0.0,179.7,null
1670521022,3825.0,1670521021.9,218.0,a19a08,38.991968,-77.3573,1670521021.9,0.0,179.7,null
