time,altitude,altitudeTime,groundSpeed,icao24,lat,lon,latLonTime,verticalRate,track,type
1670520715,3875.0,1670520714.7,266.0,a1e946,39.055984,-77.357423,1670520714.7,-64.0,179.8,null
1670520716,3875.0,1670520715.7,266.0,a1e946,39.055984,-77.357423,1670520715.7,-64.0,179.8,null
1670520717,3875.0,1670520716.9,266.0,a1e946,39.04946,-77.357422,1670520716.9,-64.0,179.8,null
1670520718,3850.0,1670520718.0,266.0,a1e946,39.048203,-77.357423,1670520718.0,-64.0,179.8,null
1670520719,3850.0,1670520718.9,266.0,a1e946,39.046993,-77.357361,1670520718.9,0.0,179.8,null
1670520722,3850.0,1670520721.9,265.0,a1e946,39.043408,-77.357361,1670520721.9,64.0,180.0,null
1670520723,3850.0,1670520722.7,265.0,a1e946,39.042058,-77.357361,1670520722.7,-64.0,180.0,null
1670520724,3850.0,1670520723.9,265.0,a1e946,39.042058,-77.357361,1670520723.9,-64.0,180.0,null
1670520725,3850.0,1670520724.9,266.0,a1e946,39.039322,-77.357363,1670520724.9,-64.0,180.0,null
1670520726,3850.0,1670520725.8,266.0,a1e946,39.038055,-77.357361,1670520725.8,-64.0,180.0,null
1670520729,3850.0,1670520728.8,266.0,a1e946,39.034286,-77.357363,1670520728.8,-64.0,180.0,null
1670520731,3850.0,1670520730.6,266.0,a1e946,39.034286,-77.357363,1670520730.6,-64.0,180.0,null
1670520732,3850.0,1670520731.9,266.0,a1e946,39.034286,-77.357363,1670520731.9,-64.0,180.0,null
1670520733,3850.0,1670520732.3,266.0,a1e946,39.029675,-77.357361,1670520732.3,-64.0,180.0,null
1670520734,3850.0,1670520733.9,266.0,a1e946,39.029675,-77.357361,1670520733.9,-64.0,180.0,null
1670520735,3850.0,1670520734.9,268.0,a1e946,39.027208,-77.357361,1670520734.9,-64.0,179.8,null
1670520736,3850.0,1670520735.9,268.0,a1e946,39.025955,-77.357363,1670520735.9,0.0,179.8,null
1670520737,3850.0,1670520736.7,268.0,a1e946,39.024741,-77.357361,1670520736.7,64.0,180.0,null
1670520738,3850.0,1670520737.7,268.0,a1e946,39.023483,-77.357363,1670520737.7,64.0,180.0,null
1670520739,3850.0,1670520738.8,269.0,a1e946,39.023483,-77.357363,1670520738.8,192.0,179.8,null
1670520740,3850.0,1670520739.8,269.0,a1e946,39.021011,-77.357304,1670520739.8,128.0,179.8,null
1670520741,3850.0,1670520740.8,269.0,a1e946,39.021011,-77.357304,1670520740.8,128.0,179.8,null
1670520744,3850.0,1670520743.7,269.0,a1e946,39.016268,-77.3573,1670520743.7,128.0,179.8,null
1670520745,3850.0,1670520744.8,269.0,a1e946,39.016268,-77.3573,1670520744.8,128.0,179.8,null
1670520747,3850.0,1670520746.9,268.0,a1e946,39.012497,-77.357304,1670520746.9,-128.0,180.0,null
1670520748,3875.0,1670520748.0,267.0,a1e946,39.011032,-77.357304,1670520748.0,-512.0,180.0,null
1670520749,3825.0,1670520749.0,267.0,a1e946,39.009933,-77.357304,1670520749.0,-640.0,179.8,null
1670520750,3850.0,1670520749.9,266.0,a1e946,39.00856,-77.357304,1670520749.9,-896.0,179.8,null
1670520751,3825.0,1670520750.1,265.0,a1e946,39.00856,-77.357304,1670520750.1,-1216.0,179.8,null
1670520752,3825.0,1670520751.6,265.0,a1e946,39.00856,-77.357304,1670520751.6,-1216.0,179.8,null
1670520753,3750.0,1670520752.8,265.0,a1e946,39.00491,-77.357239,1670520752.8,-1600.0,179.8,null
1670520754,3725.0,1670520753.9,265.0,a1e946,39.004351,-77.357239,1670520753.9,-1600.0,179.8,null
1670520755,3700.0,1670520754.9,265.0,a1e946,39.002609,-77.357244,1670520754.9,-1600.0,179.8,null
1670520756,3700.0,1670520755.6,265.0,a1e946,39.001236,-77.357244,1670520755.6,-1600.0,179.8,null
1670520757,3625.0,1670520757.0,265.0,a1e946,38.999417,-77.357239,1670520757.0,-1664.0,180.0,null
1670520758,3600.0,1670520758.0,265.0,a1e946,38.99826,-77.357244,1670520758.0,-1728.0,179.8,null
1670520759,3575.0,1670520758.8,265.0,a1e946,38.996996,-77.357239,1670520758.8,-1792.0,179.8,null
1670520760,3575.0,1670520759.8,265.0,a1e946,38.996292,-77.357244,1670520759.8,-1792.0,179.8,null
1670520761,3575.0,1670520760.1,265.0,a1e946,38.996292,-77.357244,1670520760.1,-1792.0,179.8,null
1670520762,3550.0,1670520762.0,265.0,a1e946,38.996292,-77.357244,1670520762.0,-1920.0,179.8,null
1670520763,3450.0,1670520762.9,265.0,a1e946,38.992154,-77.357239,1670520762.9,-1984.0,179.8,null
1670520764,3400.0,1670520763.8,265.0,a1e946,38.990936,-77.357184,1670520763.8,-2048.0,179.8,null
1670520765,3375.0,1670520764.9,265.0,a1e946,38.989687,-77.357178,1670520764.9,-2112.0,179.8,null
1670520766,3325.0,1670520765.9,266.0,a1e946,38.988464,-77.357184,1670520765.9,-2112.0,179.8,null
1670520767,3325.0,1670520766.9,266.0,a1e946,38.987732,-77.357178,1670520766.9,-2048.0,179.8,null
1670520768,3325.0,1670520767.9,266.0,a1e946,38.987732,-77.357178,1670520767.9,-2048.0,179.8,null
1670520769,3300.0,1670520768.9,266.0,a1e946,38.985992,-77.357184,1670520768.9,-1984.0,179.8,null
1670520770,3250.0,1670520770.0,266.0,a1e946,38.984241,-77.357178,1670520770.0,-1920.0,179.8,null
1670520771,3200.0,1670520770.8,266.0,a1e946,38.983017,-77.357184,1670520770.8,-1792.0,179.8,null
1670520772,3175.0,1670520772.0,266.0,a1e946,38.98182,-77.357178,1670520772.0,-1728.0,179.8,null
1670520773,3150.0,1670520772.7,266.0,a1e946,38.980749,-77.357178,1670520772.7,-1664.0,179.8,null
1670520774,3125.0,1670520773.9,266.0,a1e946,38.979353,-77.357178,1670520773.9,-1600.0,179.8,null
1670520775,3100.0,1670520774.9,266.0,a1e946,38.978119,-77.357125,1670520774.9,-1600.0,179.8,null
1670520776,3075.0,1670520775.7,266.0,a1e946,38.976839,-77.357117,1670520775.7,-1664.0,180.0,null
1670520777,3050.0,1670520777.0,266.0,a1e946,38.975555,-77.357125,1670520777.0,-1536.0,180.0,null
1670520778,3025.0,1670520778.0,266.0,a1e946,38.974418,-77.357117,1670520778.0,-1472.0,180.0,null
1670520779,3000.0,1670520778.9,266.0,a1e946,38.972928,-77.357117,1670520778.9,-1344.0,180.0,null
1670520780,2975.0,1670520779.9,266.0,a1e946,38.972214,-77.357125,1670520779.9,-1216.0,180.0,null
1670520781,2950.0,1670520780.9,265.0,a1e946,38.970703,-77.357125,1670520780.9,-1088.0,179.8,null
1670520782,2925.0,1670520781.9,265.0,a1e946,38.96939,-77.357117,1670520781.9,-960.0,179.8,null
1670520783,2900.0,1670520782.8,265.0,a1e946,38.967682,-77.357125,1670520782.8,-768.0,179.8,null
1670520784,2900.0,1670520783.9,265.0,a1e946,38.966309,-77.357125,1670520783.9,-640.0,179.8,null
1670520785,2900.0,1670520784.9,265.0,a1e946,38.965061,-77.357117,1670520784.9,-512.0,179.8,null
1670520786,2875.0,1670520785.9,264.0,a1e946,38.963745,-77.357125,1670520785.9,-384.0,180.0,null
1670520787,2875.0,1670520786.9,264.0,a1e946,38.962547,-77.357117,1670520786.9,-320.0,180.0,null
1670520788,2875.0,1670520788.0,264.0,a1e946,38.961411,-77.357125,1670520788.0,-192.0,180.0,null
1670520789,2875.0,1670520788.9,264.0,a1e946,38.960173,-77.357117,1670520788.9,-128.0,180.0,null
1670520790,2875.0,1670520789.9,263.0,a1e946,38.958984,-77.357125,1670520789.9,-64.0,180.0,null
1670520791,2875.0,1670520791.0,263.0,a1e946,38.957752,-77.357117,1670520791.0,-64.0,180.0,null
1670520792,2875.0,1670520791.9,263.0,a1e946,38.956512,-77.357125,1670520791.9,-64.0,180.0,null
1670520793,2875.0,1670520793.0,263.0,a1e946,38.955192,-77.357117,1670520793.0,-64.0,180.0,null
1670520794,2875.0,1670520793.9,263.0,a1e946,38.953795,-77.357117,1670520793.9,-64.0,179.8,null
1670520795,2875.0,1670520794.9,263.0,a1e946,38.953795,-77.357117,1670520794.9,-64.0,179.8,null
1670520796,2875.0,1670520795.8,263.0,a1e946,38.952576,-77.357065,1670520795.8,-128.0,179.8,null
1670520797,2875.0,1670520796.8,263.0,a1e946,38.951375,-77.357056,1670520796.8,-192.0,179.8,null
1670520798,2875.0,1670520797.9,263.0,a1e946,38.95015,-77.357065,1670520797.9,-192.0,179.8,null
1670520799,2850.0,1670520798.8,263.0,a1e946,38.948907,-77.357056,1670520798.8,-192.0,180.0,null
1670520800,2850.0,1670520799.9,263.0,a1e946,38.947678,-77.357065,1670520799.9,-128.0,180.0,null
1670520801,2850.0,1670520800.9,263.0,a1e946,38.94644,-77.357056,1670520800.9,-128.0,180.0,null
1670520802,2850.0,1670520802.0,263.0,a1e946,38.945251,-77.357065,1670520802.0,-64.0,180.0,null
1670520803,2850.0,1670520803.0,263.0,a1e946,38.943973,-77.357056,1670520803.0,0.0,180.0,null
1670520804,2850.0,1670520803.9,263.0,a1e946,38.942276,-77.357065,1670520803.9,64.0,180.0,null
1670520805,2850.0,1670520804.9,263.0,a1e946,38.94104,-77.357056,1670520804.9,64.0,180.0,null
1670520806,2850.0,1670520805.8,264.0,a1e946,38.93985,-77.357065,1670520805.8,64.0,180.0,null
1670520807,2850.0,1670520806.9,264.0,a1e946,38.938619,-77.357056,1670520806.9,128.0,180.0,null
1670520808,2875.0,1670520807.9,264.0,a1e946,38.937378,-77.357065,1670520807.9,128.0,180.0,null
1670520809,2875.0,1670520809.0,265.0,a1e946,38.936012,-77.357056,1670520809.0,64.0,180.0,null
1670520810,2875.0,1670520809.9,265.0,a1e946,38.934662,-77.357056,1670520809.9,64.0,180.0,null
1670520811,2875.0,1670520811.0,265.0,a1e946,38.933441,-77.357065,1670520811.0,-128.0,180.0,null
1670520812,2875.0,1670520811.8,266.0,a1e946,38.932195,-77.357056,1670520811.8,-192.0,180.0,null
1670520813,2850.0,1670520812.8,266.0,a1e946,38.930969,-77.357065,1670520812.8,-192.0,180.0,null
1670520814,2850.0,1670520814.0,266.0,a1e946,38.929728,-77.357056,1670520814.0,-128.0,180.0,null
1670520815,2850.0,1670520814.9,266.0,a1e946,38.92875,-77.357056,1670520814.9,64.0,180.0,null
1670520816,2850.0,1670520815.6,267.0,a1e946,38.92749,-77.357065,1670520815.6,320.0,179.8,null
1670520817,2850.0,1670520817.0,267.0,a1e946,38.925631,-77.357056,1670520817.0,320.0,179.8,null
1670520818,2875.0,1670520818.0,267.0,a1e946,38.924515,-77.357065,1670520818.0,128.0,180.0,null
1670520819,2875.0,1670520818.9,267.0,a1e946,38.923816,-77.357056,1670520818.9,-256.0,180.0,null
1670520820,2875.0,1670520819.8,267.0,a1e946,38.921997,-77.357065,1670520819.8,-320.0,180.2,null
1670520821,2875.0,1670520820.9,268.0,a1e946,38.920836,-77.357056,1670520820.9,-320.0,180.0,null
1670520822,2850.0,1670520821.8,268.0,a1e946,38.919479,-77.357065,1670520821.8,-320.0,180.0,null
1670520823,2850.0,1670520822.8,268.0,a1e946,38.919479,-77.357065,1670520822.8,-320.0,180.0,null
1670520824,2850.0,1670520823.9,268.0,a1e946,38.918229,-77.357056,1670520823.9,-128.0,180.0,null
1670520825,2850.0,1670520825.0,268.0,a1e946,38.917099,-77.357065,1670520825.0,-64.0,180.0,null
1670520826,2850.0,1670520826.0,268.0,a1e946,38.915762,-77.357056,1670520826.0,0.0,180.0,null
1670520827,2850.0,1670520827.0,268.0,a1e946,38.914124,-77.357065,1670520827.0,0.0,180.0,null
1670520828,2850.0,1670520827.9,268.0,a1e946,38.912876,-77.357056,1670520827.9,0.0,180.0,null
1670520829,2850.0,1670520828.8,268.0,a1e946,38.911652,-77.357065,1670520828.8,-64.0,180.0,null
1670520830,2850.0,1670520829.9,268.0,a1e946,38.910316,-77.357056,1670520829.9,-128.0,180.0,null
1670520831,2850.0,1670520830.9,268.0,a1e946,38.909042,-77.357065,1670520830.9,-128.0,180.0,null
1670520832,2850.0,1670520831.9,268.0,a1e946,38.907669,-77.357065,1670520831.9,-128.0,180.0,null
1670520833,2850.0,1670520833.0,268.0,a1e946,38.906452,-77.357056,1670520833.0,0.0,179.8,null
1670520834,2850.0,1670520833.8,268.0,a1e946,38.905334,-77.357056,1670520833.8,0.0,179.8,null
1670520835,2850.0,1670520835.0,268.0,a1e946,38.903938,-77.357056,1670520835.0,64.0,179.8,null
1670520836,2850.0,1670520835.9,268.0,a1e946,38.902588,-77.357065,1670520835.9,64.0,180.0,null
1670520837,2850.0,1670520836.7,268.0,a1e946,38.901471,-77.357056,1670520836.7,128.0,180.0,null
1670520838,2850.0,1670520837.8,268.0,a1e946,38.900208,-77.357065,1670520837.8,128.0,180.0,null
1670520839,2850.0,1670520838.9,268.0,a1e946,38.899003,-77.357056,1670520838.9,128.0,180.0,null
1670520840,2850.0,1670520839.8,268.0,a1e946,38.89784,-77.357056,1670520839.8,192.0,180.2,null
1670520841,2875.0,1670520840.9,268.0,a1e946,38.895977,-77.357056,1670520840.9,128.0,180.4,null
1670520842,2875.0,1670520841.9,268.0,a1e946,38.895,-77.357056,1670520841.9,64.0,180.4,null
1670520843,2875.0,1670520842.9,268.0,a1e946,38.893753,-77.357065,1670520842.9,-64.0,180.6,null
1670520844,2875.0,1670520844.0,269.0,a1e946,38.892486,-77.357117,1670520844.0,-64.0,180.9,null
1670520845,2875.0,1670520844.9,269.0,a1e946,38.891235,-77.357125,1670520844.9,-128.0,180.9,null
1670520846,2850.0,1670520845.7,269.0,a1e946,38.890019,-77.357178,1670520845.7,-128.0,180.9,null
1670520847,2850.0,1670520847.0,268.0,a1e946,38.88826,-77.357184,1670520847.0,-128.0,181.1,null
1670520848,2850.0,1670520847.9,268.0,a1e946,38.886993,-77.357239,1670520847.9,-128.0,181.1,null
1670520849,2850.0,1670520848.9,268.1,a1e946,38.886434,-77.357239,1670520848.9,-64.0,181.3,null
1670520850,2850.0,1670520849.9,268.1,a1e946,38.884479,-77.3573,1670520849.9,-64.0,181.3,null
1670520851,2850.0,1670520850.9,268.1,a1e946,38.884479,-77.3573,1670520850.9,-64.0,181.3,null
1670520852,2850.0,1670520851.1,268.1,a1e946,38.884479,-77.3573,1670520851.1,-64.0,181.3,null
1670520853,2850.0,1670520853.0,268.1,a1e946,38.884479,-77.3573,1670520853.0,0.0,181.3,null
1670520854,2850.0,1670520853.9,267.1,a1e946,38.880798,-77.357423,1670520853.9,64.0,181.3,null
1670520855,2850.0,1670520854.7,267.1,a1e946,38.880295,-77.357423,1670520854.7,128.0,181.3,null
1670520856,2850.0,1670520855.3,267.1,a1e946,38.880295,-77.357423,1670520855.3,128.0,181.3,null
1670520859,2850.0,1670520858.3,267.1,a1e946,38.880295,-77.357423,1670520858.3,128.0,181.3,null
1670520860,2850.0,1670520860.0,267.1,a1e946,38.873383,-77.357602,1670520860.0,0.0,181.3,null
1670520861,2850.0,1670520860.5,267.1,a1e946,38.872787,-77.357602,1670520860.5,0.0,181.3,null
1670520866,2850.0,1670520866.0,266.1,a1e946,38.865372,-77.357841,1670520866.0,-128.0,181.3,null
1670520867,2850.0,1670520866.9,266.1,a1e946,38.864136,-77.357849,1670520866.9,-64.0,181.3,null
1670520868,2850.0,1670520867.6,266.1,a1e946,38.863495,-77.357901,1670520867.6,-64.0,181.3,null
1670520869,2850.0,1670520869.0,266.0,a1e946,38.863495,-77.357901,1670520869.0,-64.0,181.1,null
1670520873,2850.0,1670520872.8,266.0,a1e946,38.863495,-77.357901,1670520872.8,-64.0,181.1,null
1670520874,2850.0,1670520873.5,266.0,a1e946,38.863495,-77.357901,1670520873.5,-64.0,181.1,null
1670520883,2850.0,1670520882.8,266.0,a1e946,38.863495,-77.357901,1670520882.8,-64.0,181.1,null
1670520884,2850.0,1670520883.6,255.0,a1e946,38.863495,-77.357901,1670520883.6,0.0,180.9,null
1670520885,2850.0,1670520885.0,255.0,a1e946,38.842667,-77.358379,1670520885.0,0.0,180.9,null
1670520886,2850.0,1670520885.4,255.0,a1e946,38.841977,-77.358398,1670520885.4,0.0,180.9,null
1670520887,2850.0,1670520886.2,255.0,a1e946,38.841977,-77.358398,1670520886.2,0.0,180.9,null
1670520888,2850.0,1670520887.9,255.0,a1e946,38.839184,-77.358459,1670520887.9,0.0,180.9,null
1670520889,2850.0,1670520888.8,255.0,a1e946,38.837906,-77.358438,1670520888.8,0.0,180.9,null
1670520890,2850.0,1670520889.9,248.0,a1e946,38.836624,-77.358498,1670520889.9,0.0,180.9,null
1670520891,2850.0,1670520890.8,246.0,a1e946,38.835972,-77.358521,1670520890.8,-64.0,180.9,null
1670520905,2850.0,1670520904.8,246.0,a1e946,38.835297,-77.358498,1670520904.8,-64.0,180.9,null
1670520906,2850.0,1670520905.8,246.0,a1e946,38.835297,-77.358498,1670520905.8,-64.0,180.9,null
1670520907,2850.0,1670520906.8,246.0,a1e946,38.835297,-77.358498,1670520906.8,-64.0,180.9,null
1670520908,2850.0,1670520907.7,246.0,a1e946,38.81781,-77.358916,1670520907.7,-64.0,180.9,null
1670520910,2850.0,1670520909.6,246.0,a1e946,38.81781,-77.358916,1670520909.6,-64.0,180.9,null
1670520918,2850.0,1670520917.3,246.0,a1e946,38.81781,-77.358916,1670520917.3,-64.0,180.9,null
